Tarikh,Negeri,Daerah,Peringkat,Komoditi,Gred/Saiz,Unit,Harga (RM)
21/4/2026,PERAK,BATANG PADANG,Runcit,BAYAM,F.A.Q,Kilogram,5
21/4/2026,PERAK,HILIR PERAK,Runcit,BAYAM,F.A.Q,Kilogram,4
21/4/2026,PERAK,KINTA,Ladang,BAYAM,F.A.Q,Kilogram,1.4
21/4/2026,PERAK,KINTA,Borong,BAYAM,F.A.Q,Kilogram,2
21/4/2026,PERAK,KINTA,Runcit,BAYAM,F.A.Q,Kilogram,5
21/4/2026,PERAK,KUALA KANGSAR,Runcit,BAYAM,F.A.Q,Kilogram,4
21/4/2026,PERAK,"LARUT, MATANG DAN SELAMA",Ladang,BAYAM,F.A.Q,Kilogram,2.5
21/4/2026,PERAK,"LARUT, MATANG DAN SELAMA",Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,PERAK,MANJUNG (DINDING),Runcit,BAYAM,F.A.Q,Kilogram,4.5
21/4/2026,PERAK,MUALLIM,Ladang,BAYAM,F.A.Q,Kilogram,1.2
21/4/2026,PERAK,MUALLIM,Runcit,BAYAM,F.A.Q,Kilogram,4
21/4/2026,PERLIS,PERLIS,Ladang,BAYAM,F.A.Q,Kilogram,2.07
21/4/2026,PERLIS,PERLIS,Borong,BAYAM,F.A.Q,Kilogram,4
21/4/2026,PERLIS,PERLIS,Runcit,BAYAM,F.A.Q,Kilogram,6.2
21/4/2026,PULAU PINANG,SEBERANG PERAI TENGAH,Borong,BAYAM,F.A.Q,Kilogram,2.45
21/4/2026,PULAU PINANG,SEBERANG PERAI TENGAH,Runcit,BAYAM,F.A.Q,Kilogram,4.83
21/4/2026,PULAU PINANG,SEBERANG PERAI UTARA,Ladang,BAYAM,F.A.Q,Kilogram,1.6
21/4/2026,SABAH,BEAUFORT,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,SABAH,KENINGAU,Ladang,BAYAM,F.A.Q,Kilogram,2.65
21/4/2026,SABAH,KENINGAU,Borong,BAYAM,F.A.Q,Kilogram,3.5
21/4/2026,SABAH,KENINGAU,Runcit,BAYAM,F.A.Q,Kilogram,5
21/4/2026,SABAH,KOTA KINABALU,Runcit,BAYAM,F.A.Q,Kilogram,4
21/4/2026,SABAH,KUDAT,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,SABAH,LAHAD DATU,Ladang,BAYAM,F.A.Q,Kilogram,2
21/4/2026,SABAH,LAHAD DATU,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,SABAH,PAPAR,Runcit,BAYAM,F.A.Q,Kilogram,7
21/4/2026,SABAH,PENAMPANG,Borong,BAYAM,F.A.Q,Kilogram,2.5
21/4/2026,SABAH,RANAU,Ladang,BAYAM,F.A.Q,Kilogram,1.5
21/4/2026,SABAH,SANDAKAN,Ladang,BAYAM,F.A.Q,Kilogram,4
21/4/2026,SABAH,SANDAKAN,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,SARAWAK,BETONG,Runcit,BAYAM,F.A.Q,Kilogram,10
21/4/2026,SARAWAK,KUCHING,Ladang,BAYAM,F.A.Q,Kilogram,2.5
21/4/2026,SARAWAK,KUCHING,Borong,BAYAM,F.A.Q,Kilogram,5
21/4/2026,SARAWAK,KUCHING,Runcit,BAYAM,F.A.Q,Kilogram,9
21/4/2026,SARAWAK,MUKAH,Runcit,BAYAM,F.A.Q,Kilogram,8
21/4/2026,SARAWAK,SARIKEI,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,SARAWAK,SIBU,Ladang,BAYAM,F.A.Q,Kilogram,2.5
21/4/2026,SARAWAK,SIBU,Borong,BAYAM,F.A.Q,Kilogram,5
21/4/2026,SARAWAK,SIBU,Runcit,BAYAM,F.A.Q,Kilogram,7
21/4/2026,SARAWAK,KLANG,Ladang,BAYAM,F.A.Q,Kilogram,2
21/4/2026,SARAWAK,KLANG,Borong,BAYAM,F.A.Q,Kilogram,2.5
21/4/2026,SARAWAK,KLANG,Runcit,BAYAM,F.A.Q,Kilogram,3
21/4/2026,SARAWAK,KUALA LANGAT,Runcit,BAYAM,F.A.Q,Kilogram,5
21/4/2026,SARAWAK,KUALA SELANGOR,Ladang,BAYAM,F.A.Q,Kilogram,1
21/4/2026,SARAWAK,KUALA SELANGOR,Runcit,BAYAM,F.A.Q,Kilogram,8
21/4/2026,SARAWAK,PETALING,Borong,BAYAM,F.A.Q,Kilogram,5
21/4/2026,SARAWAK,PETALING,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,TERENGGANU,DUNGUN,Runcit,BAYAM,F.A.Q,Kilogram,8
21/4/2026,TERENGGANU,KUALA NERUS,Runcit,BAYAM,F.A.Q,Kilogram,4
21/4/2026,TERENGGANU,KUALA TERENGGANU,Borong,BAYAM,F.A.Q,Kilogram,7
21/4/2026,TERENGGANU,KUALA TERENGGANU,Runcit,BAYAM,F.A.Q,Kilogram,8.67
21/4/2026,W.P. KUALA LUMPUR,BATU,Runcit,BAYAM,F.A.Q,Kilogram,3.75
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Borong,BAYAM,F.A.Q,Kilogram,3.5
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Runcit,BAYAM,F.A.Q,Kilogram,6
21/4/2026,W.P. LABUAN,LABUAN,Borong,BAYAM,F.A.Q,Kilogram,4
21/4/2026,W.P. LABUAN,LABUAN,Runcit,BAYAM,F.A.Q,Kilogram,9
21/4/2026,JOHOR,BATU PAHAT,Ladang,CILI HIJAU,F.A.Q,Kilogram,6
21/4/2026,JOHOR,BATU PAHAT,Runcit,CILI HIJAU,F.A.Q,Kilogram,12
21/4/2026,JOHOR,JOHOR BAHRU,Borong,CILI HIJAU,F.A.Q,Kilogram,8
21/4/2026,JOHOR,JOHOR BAHRU,Runcit,CILI HIJAU,F.A.Q,Kilogram,9.67
21/4/2026,JOHOR,KULAI,Borong,CILI HIJAU,F.A.Q,Kilogram,7
21/4/2026,JOHOR,KULAI,Runcit,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,JOHOR,MERSING,Runcit,CILI HIJAU,F.A.Q,Kilogram,14
21/4/2026,JOHOR,PONTIAN,Runcit,CILI HIJAU,F.A.Q,Kilogram,13
21/4/2026,KEDAH,LANGKAWI,Runcit,CILI HIJAU,F.A.Q,Kilogram,18
21/4/2026,MELAKA,ALOR GAJAH,Runcit,CILI HIJAU,F.A.Q,Kilogram,16
21/4/2026,MELAKA,JASIN,Runcit,CILI HIJAU,F.A.Q,Kilogram,11.5
21/4/2026,MELAKA,MELAKA TENGAH,Ladang,CILI HIJAU,F.A.Q,Kilogram,5.5
21/4/2026,MELAKA,MELAKA TENGAH,Borong,CILI HIJAU,F.A.Q,Kilogram,7
21/4/2026,MELAKA,MELAKA TENGAH,Runcit,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,NEGERI SEMBILAN,JEMPOL,Runcit,CILI HIJAU,F.A.Q,Kilogram,11
21/4/2026,NEGERI SEMBILAN,KUALA PILAH,Ladang,CILI HIJAU,F.A.Q,Kilogram,5.65
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Ladang,CILI HIJAU,F.A.Q,Kilogram,6.3
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Borong,CILI HIJAU,F.A.Q,Kilogram,7.23
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Runcit,CILI HIJAU,F.A.Q,Kilogram,9.83
21/4/2026,NEGERI SEMBILAN,TAMPIN,Runcit,CILI HIJAU,F.A.Q,Kilogram,9
21/4/2026,PAHANG,KUANTAN,Ladang,CILI HIJAU,F.A.Q,Kilogram,6.1
21/4/2026,PAHANG,KUANTAN,Borong,CILI HIJAU,F.A.Q,Kilogram,8.42
21/4/2026,PAHANG,KUANTAN,Runcit,CILI HIJAU,F.A.Q,Kilogram,10.1
21/4/2026,PAHANG,TEMERLOH,Runcit,CILI HIJAU,F.A.Q,Kilogram,9
21/4/2026,PERAK,BATANG PADANG,Runcit,CILI HIJAU,F.A.Q,Kilogram,12
21/4/2026,PERAK,KINTA,Ladang,CILI HIJAU,F.A.Q,Kilogram,4.5
21/4/2026,PERAK,KINTA,Borong,CILI HIJAU,F.A.Q,Kilogram,6.5
21/4/2026,PERAK,KINTA,Runcit,CILI HIJAU,F.A.Q,Kilogram,11.5
21/4/2026,PERAK,KUALA KANGSAR,Runcit,CILI HIJAU,F.A.Q,Kilogram,13
21/4/2026,PERAK,"LARUT, MATANG DAN SELAMA",Runcit,CILI HIJAU,F.A.Q,Kilogram,14
21/4/2026,PERAK,MANJUNG (DINDING),Runcit,CILI HIJAU,F.A.Q,Kilogram,8
21/4/2026,PERAK,MUALLIM,Runcit,CILI HIJAU,F.A.Q,Kilogram,15
21/4/2026,PERLIS,PERLIS,Runcit,CILI HIJAU,F.A.Q,Kilogram,12
21/4/2026,PULAU PINANG,SEBERANG PERAI TENGAH,Borong,CILI HIJAU,F.A.Q,Kilogram,4.75
21/4/2026,PULAU PINANG,SEBERANG PERAI TENGAH,Runcit,CILI HIJAU,F.A.Q,Kilogram,12.67
21/4/2026,SABAH,KENINGAU,Runcit,CILI HIJAU,F.A.Q,Kilogram,15
21/4/2026,SABAH,LAHAD DATU,Ladang,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,SABAH,LAHAD DATU,Runcit,CILI HIJAU,F.A.Q,Kilogram,15
21/4/2026,SABAH,SANDAKAN,Runcit,CILI HIJAU,F.A.Q,Kilogram,30
21/4/2026,SARAWAK,KUCHING,Ladang,CILI HIJAU,F.A.Q,Kilogram,7
21/4/2026,SARAWAK,KUCHING,Runcit,CILI HIJAU,F.A.Q,Kilogram,18
21/4/2026,SARAWAK,LIMBANG,Runcit,CILI HIJAU,F.A.Q,Kilogram,26.5
21/4/2026,SARAWAK,SIBU,Ladang,CILI HIJAU,F.A.Q,Kilogram,5
21/4/2026,SARAWAK,SIBU,Borong,CILI HIJAU,F.A.Q,Kilogram,8
21/4/2026,SARAWAK,SIBU,Runcit,CILI HIJAU,F.A.Q,Kilogram,18
21/4/2026,SELANGOR,GOMBAK,Runcit,CILI HIJAU,F.A.Q,Kilogram,11
21/4/2026,SELANGOR,KLANG,Borong,CILI HIJAU,F.A.Q,Kilogram,8
21/4/2026,SELANGOR,KLANG,Runcit,CILI HIJAU,F.A.Q,Kilogram,9
21/4/2026,SELANGOR,KUALA LANGAT,Runcit,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,SELANGOR,PETALING,Borong,CILI HIJAU,F.A.Q,Kilogram,6.5
21/4/2026,SELANGOR,PETALING,Runcit,CILI HIJAU,F.A.Q,Kilogram,7.5
21/4/2026,TERENGGANU,KUALA TERENGGANU,Borong,CILI HIJAU,F.A.Q,Kilogram,7
21/4/2026,TERENGGANU,KUALA TERENGGANU,Runcit,CILI HIJAU,F.A.Q,Kilogram,11.67
21/4/2026,W.P. KUALA LUMPUR,BATU,Runcit,CILI HIJAU,F.A.Q,Kilogram,9.5
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Borong,CILI HIJAU,F.A.Q,Kilogram,7.5
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Runcit,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,W.P. LABUAN,LABUAN,Borong,CILI HIJAU,F.A.Q,Kilogram,15
21/4/2026,W.P. LABUAN,LABUAN,Runcit,CILI HIJAU,F.A.Q,Kilogram,22
21/4/2026,KEDAH,KOTA SETAR,Borong,CILI HIJAU ,F.A.Q,Kilogram,11
21/4/2026,KEDAH,KOTA SETAR,Runcit,CILI HIJAU,F.A.Q,Kilogram,13
21/4/2026,KEDAH,LANGKAWI,Borong,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,KEDAH,PENDANG,Runcit,CILI HIJAU,F.A.Q,Kilogram,12
21/4/2026,MELAKA,MELAKA TENGAH,Runcit,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,PAHANG,RAUB,Runcit,CILI HIJAU,F.A.Q,Kilogram,12
21/4/2026,W.P. KUALA LUMPUR,BATU,Runcit,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Borong,CILI HIJAU,F.A.Q,Kilogram,3
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Runcit,CILI HIJAU,F.A.Q,Kilogram,10
21/4/2026,PAHANG,RAUB,Borong,DURIAN,F.A.Q,Kilogram,16.5
21/4/2026,SELANGOR,GOMBAK,Runcit,DURIAN,F.A.Q,Kilogram,15
21/4/2026,PAHANG,RAUB,Borong,DURIAN,F.A.Q,Kilogram,27
21/4/2026,PAHANG,RAUB,Borong,DURIAN,F.A.Q,Kilogram,19
21/4/2026,SELANGOR,GOMBAK,Runcit,DURIAN,F.A.Q,Kilogram,20
21/4/2026,PAHANG,RAUB,Borong,DURIAN,F.A.Q,Kilogram,10
21/4/2026,PAHANG,RAUB,Borong,DURIAN,F.A.Q,Kilogram,22
21/4/2026,SELANGOR,GOMBAK,Runcit,DURIAN,F.A.Q,Kilogram,15
21/4/2026,PAHANG,RAUB,Borong,DURIAN,F.A.Q,Kilogram,28.67
21/4/2026,SELANGOR,GOMBAK,Runcit,DURIAN,F.A.Q,Kilogram,35
21/4/2026,SELANGOR,GOMBAK,Runcit,DURIAN,F.A.Q,Kilogram,20
21/4/2026,JOHOR,BATU PAHAT,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5
21/4/2026,JOHOR,JOHOR BAHRU,Borong,KUBIS BULAT,F.A.Q,Kilogram,2.5
21/4/2026,JOHOR,JOHOR BAHRU,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,JOHOR,KULAI,Borong,KUBIS BULAT,F.A.Q,Kilogram,2
21/4/2026,JOHOR,KULAI,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3
21/4/2026,JOHOR,MERSING,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,JOHOR,PONTIAN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,7
21/4/2026,KEDAH,KOTA SETAR,Borong,KUBIS BULAT,F.A.Q,Kilogram,2
21/4/2026,KEDAH,KOTA SETAR,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,KEDAH,KOTA SETAR,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,KEDAH,PENDANG,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4.5
21/4/2026,KELANTAN,BACHOK,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,KELANTAN,KOTA BHARU,Borong,KUBIS BULAT,F.A.Q,Kilogram,1.92
21/4/2026,KELANTAN,KOTA BHARU,Runcit,KUBIS BULAT,F.A.Q,Kilogram,2.93
21/4/2026,KELANTAN,PASIR MAS,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4.67
21/4/2026,KELANTAN,TANAH MERAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5.5
21/4/2026,KELANTAN,TUMPAT,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4.33
21/4/2026,MELAKA,ALOR GAJAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4.5
21/4/2026,MELAKA,JASIN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,MELAKA,MELAKA TENGAH,Borong,KUBIS BULAT,F.A.Q,Kilogram,1.8
21/4/2026,MELAKA,MELAKA TENGAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Borong,KUBIS BULAT,F.A.Q,Kilogram,2.33
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.33
21/4/2026,PAHANG,KUANTAN,Borong,KUBIS BULAT,F.A.Q,Kilogram,2.64
21/4/2026,PAHANG,KUANTAN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.54
21/4/2026,PAHANG,RAUB,Runcit,KUBIS BULAT,F.A.Q,Kilogram,2.8
21/4/2026,PAHANG,ROMPIN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,PERAK,KINTA,Borong,KUBIS BULAT,F.A.Q,Kilogram,1.3
21/4/2026,PERAK,KINTA,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,PERAK,MANJUNG (DINDING),Runcit,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,PERLIS,PERLIS,Borong,KUBIS BULAT,F.A.Q,Kilogram,2
21/4/2026,PERLIS,PERLIS,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.45
21/4/2026,PULAU PINANG,SEBERANG PERAI TENGAH,Borong,KUBIS BULAT,F.A.Q,Kilogram,1.1
21/4/2026,PULAU PINANG,SEBERANG PERAI TENGAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,SABAH,SANDAKAN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,8
21/4/2026,SABAH,SEMPORNA,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5
21/4/2026,SARAWAK,DARO,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5.5
21/4/2026,SARAWAK,KUCHING,Borong,KUBIS BULAT,F.A.Q,Kilogram,3
21/4/2026,SARAWAK,KUCHING,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,SARAWAK,MUKAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5.5
21/4/2026,SARAWAK,SARIKEI,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,SARAWAK,SIBU,Borong,KUBIS BULAT,F.A.Q,Kilogram,3
21/4/2026,SARAWAK,SIBU,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,SELANGOR,GOMBAK,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,SELANGOR,KLANG,Borong,KUBIS BULAT,F.A.Q,Kilogram,2.3
21/4/2026,SELANGOR,KLANG,Runcit,KUBIS BULAT,F.A.Q,Kilogram,2.95
21/4/2026,SELANGOR,KUALA LANGAT,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,SELANGOR,PETALING,Borong,KUBIS BULAT,F.A.Q,Kilogram,2.55
21/4/2026,SELANGOR,PETALING,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.55
21/4/2026,TERENGGANU,KUALA NERUS,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,TERENGGANU,KUALA TERENGGANU,Borong,KUBIS BULAT,F.A.Q,Kilogram,2.67
21/4/2026,TERENGGANU,KUALA TERENGGANU,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,W.P. KUALA LUMPUR,BATU,Runcit,KUBIS BULAT,F.A.Q,Kilogram,2.15
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Borong,KUBIS BULAT,F.A.Q,Kilogram,1.15
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,W.P. KUALA LUMPUR,KUALA LUMPUR,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,KELANTAN,TANAH MERAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5
21/4/2026,MELAKA,ALOR GAJAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,MELAKA,MELAKA TENGAH,Borong,KUBIS BULAT,F.A.Q,Kilogram,1.8
21/4/2026,MELAKA,MELAKA TENGAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Borong,KUBIS BULAT,F.A.Q,Kilogram,2.3
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.2
21/4/2026,PAHANG,TEMERLOH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,7
21/4/2026,PERAK,"LARUT, MATANG DAN SELAMA",Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,PULAU PINANG,SEBERANG PERAI TENGAH,Borong,KUBIS BULAT,F.A.Q,Kilogram,1.25
21/4/2026,PULAU PINANG,SEBERANG PERAI TENGAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,JOHOR,BATU PAHAT,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5
21/4/2026,JOHOR,JOHOR BAHRU,Borong,KUBIS BULAT,F.A.Q,Kilogram,4.5
21/4/2026,JOHOR,JOHOR BAHRU,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,JOHOR,KULAI,Borong,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,JOHOR,KULAI,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,JOHOR,MERSING,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4.5
21/4/2026,JOHOR,PONTIAN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,7
21/4/2026,KEDAH,KOTA SETAR,Borong,KUBIS BULAT,F.A.Q,Kilogram,2
21/4/2026,KEDAH,KOTA SETAR,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,KEDAH,KULIM,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,KEDAH,PADANG TERAP,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,KEDAH,YAN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5
21/4/2026,KELANTAN,BACHOK,Runcit,KUBIS BULAT,F.A.Q,Kilogram,4
21/4/2026,KELANTAN,KOTA BHARU,Borong,KUBIS BULAT,F.A.Q,Kilogram,1.92
21/4/2026,KELANTAN,KOTA BHARU,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.07
21/4/2026,KELANTAN,TANAH MERAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,MELAKA,JASIN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,MELAKA,MELAKA TENGAH,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3
21/4/2026,NEGERI SEMBILAN,JEMPOL,Runcit,KUBIS BULAT,F.A.Q,Kilogram,6
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Borong,KUBIS BULAT,F.A.Q,Kilogram,3.9
21/4/2026,NEGERI SEMBILAN,SEREMBAN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,5.33
21/4/2026,NEGERI SEMBILAN,TAMPIN,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,PAHANG,CAMERON HIGHLANDS,Ladang,KUBIS BULAT,F.A.Q,Kilogram,0.75
21/4/2026,PAHANG,CAMERON HIGHLANDS,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3.5
21/4/2026,PAHANG,JERANTUT,Runcit,KUBIS BULAT,F.A.Q,Kilogram,3
